fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
13/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.00,8.50,,mango kent_primera
14/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.00,8.50,,mango kent_primera
15/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",6.00,7.00,7.00,,mango kent_primera
16/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",6.00,7.00,7.00,,mango kent_primera
17/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",6.00,7.50,7.00,,mango kent_primera
20/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",6.00,7.00,7.00,,mango kent_primera
21/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",6.00,7.00,7.00,,mango kent_primera
22/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
23/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
24/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
27/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
28/08/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
03/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",9.00,10.00,10.00,,mango kent_primera
04/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",9.00,10.00,10.00,,mango kent_primera
05/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,10.00,10.00,,mango kent_primera
06/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,10.00,10.00,,mango kent_primera
07/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,10.00,10.00,,mango kent_primera
10/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,12.00,12.00,,mango kent_primera
11/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,12.00,11.00,,mango kent_primera
12/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,11.00,,mango kent_primera
13/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",11.00,12.00,11.50,,mango kent_primera
14/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,15.00,14.00,,mango kent_primera
17/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,12.00,10.00,Variedad Kit.,mango kent_primera
18/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,12.00,10.00,,mango kent_primera
19/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,10.00,10.00,,mango kent_primera
20/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,11.00,10.00,,mango kent_primera
21/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",10.00,10.00,10.00,Variedad Kit.,mango kent_primera
24/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,14.00,Variedad Kit.,mango kent_primera
25/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,14.00,,mango kent_primera
26/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.00,Variedad Kit.,mango kent_primera
27/09/2018,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.50,,mango kent_primera
26/07/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
27/07/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
30/07/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
31/07/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
01/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
02/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
03/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
06/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
07/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
08/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.04,13.04,13.04,,mango kent_primera
09/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
10/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
13/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
14/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
15/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
16/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
17/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
20/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
21/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
22/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
23/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
24/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
27/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
28/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
29/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
30/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
31/08/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
03/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
04/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
05/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
06/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
07/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
10/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
11/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
12/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
13/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
14/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
17/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
18/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
19/09/2018,Caja de 28 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",13.21,13.21,13.21,,mango kent_primera
25/07/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
26/07/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
27/07/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
30/07/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
31/07/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
01/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.43,11.43,11.43,,mango kent_primera
02/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.07,11.07,11.07,,mango kent_primera
03/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.07,11.07,11.07,,mango kent_primera
06/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.07,11.07,11.07,,mango kent_primera
07/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.07,11.07,11.07,,mango kent_primera
08/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.43,10.71,,mango kent_primera
09/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.43,10.71,,mango kent_primera
10/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.43,11.43,,mango kent_primera
13/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.43,11.43,,mango kent_primera
14/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.43,10.71,,mango kent_primera
15/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,11.43,10.00,,mango kent_primera
16/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,11.43,10.71,,mango kent_primera
17/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,8.57,10.71,10.71,,mango kent_primera
20/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
21/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
22/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
23/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
24/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
27/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.71,,mango kent_primera
28/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.71,,mango kent_primera
29/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.71,,mango kent_primera
30/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.71,,mango kent_primera
31/08/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
03/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
04/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.00,,mango kent_primera
05/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.00,10.71,10.71,,mango kent_primera
06/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,11.79,,mango kent_primera
07/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,11.79,,mango kent_primera
10/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,11.79,,mango kent_primera
11/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,11.79,,mango kent_primera
12/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,10.71,,mango kent_primera
13/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,10.71,,mango kent_primera
14/09/2018,Caja de 28 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.71,11.79,10.71,,mango kent_primera
02/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
05/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
06/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
07/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
08/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
09/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.50,7.50,,mango kent_primera
12/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.50,7.50,,mango kent_primera
13/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
14/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.50,,mango kent_primera
15/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.50,,mango kent_primera
16/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.00,8.00,7.00,,mango kent_primera
19/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
20/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mango kent_primera
21/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mango kent_primera
22/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.50,8.00,,mango kent_primera
23/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,8.00,8.00,,mango kent_primera
26/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
27/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
28/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mango kent_primera
29/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,8.00,,mango kent_primera
30/08/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",7.50,8.00,7.50,,mango kent_primera
02/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,9.00,8.50,,mango kent_primera
03/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.00,9.00,8.50,,mango kent_primera
04/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.00,8.50,,mango kent_primera
05/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.00,8.50,,mango kent_primera
06/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",9.50,9.50,9.50,,mango kent_primera
09/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",9.00,9.50,9.00,,mango kent_primera
10/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",9.00,9.50,9.00,,mango kent_primera
11/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.50,8.50,,mango kent_primera
12/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",8.50,9.50,8.50,,mango kent_primera
18/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",14.00,14.00,14.00,Variedad Kit.,mango kent_primera
19/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",14.00,14.00,14.00,Variedad Kit.,mango kent_primera
20/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",14.00,14.00,14.00,Variedad Kit.,mango kent_primera
23/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.00,Variedad Kit.,mango kent_primera
24/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.50,Variedad Kit.,mango kent_primera
25/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,14.00,Variedad Kit.,mango kent_primera
26/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.00,Variedad Kit.,mango kent_primera
27/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.50,Variedad Kit.,mango kent_primera
30/09/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.00,Variedad Kit.,mango kent_primera
01/10/2019,Kilogramo,Sinaloa,"Durango: Central de Abasto ""Francisco Villa""",13.00,14.00,13.00,Variedad Kit.,mango kent_primera
19/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,10.87,11.30,10.87,,mango kent_primera
20/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,10.87,11.30,10.87,,mango kent_primera
23/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
24/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
25/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
26/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
27/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
30/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,11.74,12.17,11.74,,mango kent_primera
01/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,13.04,13.91,13.04,,mango kent_primera
02/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
03/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
04/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
07/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
08/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
09/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
10/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
11/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
14/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
15/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
16/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
17/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
18/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
21/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
22/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
23/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
24/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
25/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,12.61,13.04,12.61,,mango kent_primera
19/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.09,11.09,11.09,,mango kent_primera
20/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.09,11.09,11.09,,mango kent_primera
23/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
24/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
25/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
26/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
27/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
30/09/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,11.96,11.96,11.96,,mango kent_primera
01/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,13.48,13.48,13.48,,mango kent_primera
02/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
03/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
04/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
07/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
08/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
09/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
10/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
11/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
14/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
15/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
16/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
17/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
18/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
21/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
22/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
23/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
24/10/2019,Caja de 23 kg.,Jalisco,Jalisco: Mercado Felipe Ángeles de Guadalajara,12.83,12.83,12.83,,mango kent_primera
